variante,periodo,n,pnl,win%,PF,maxDD
baseline,IS,64,341.27731104286937,51.5625,1.5927507136457593,-91.21517434741203
baseline,OOS,59,220.0827322814315,50.847457627118644,1.4832953990593412,-99.56912786704879
cooldown15,IS,64,340.44571104286985,51.5625,1.5913063413493378,-91.21517434741203
cooldown15,OOS,58,238.31180980759234,51.724137931034484,1.545257708987617,-99.56912786704879
cooldown30,IS,64,314.37436783523805,50.0,1.5328914395150661,-91.21517434741203
cooldown30,OOS,56,185.87256991389438,50.0,1.4252766647054427,-99.56912786704879
cooldown60,IS,63,328.56326852034687,50.79365079365079,1.5706682090821873,-91.21517434741203
cooldown60,OOS,56,109.17581372400662,46.42857142857143,1.2336574119783854,-129.58240874714556
minbars2,IS,59,366.2489353579541,52.54237288135594,1.7096815102168301,-79.52135954492901
minbars2,OOS,46,13.443015900813748,43.47826086956522,1.0330257525047994,-87.35515415961751
minbars3,IS,59,366.2489353579541,52.54237288135594,1.7096815102168301,-79.52135954492901
minbars3,OOS,46,13.443015900813748,43.47826086956522,1.0330257525047994,-87.35515415961751
macro_off,IS,59,366.32320794432036,52.54237288135594,1.7099275998898706,-79.44708695856276
macro_off,OOS,46,-47.98257661060683,41.30434782608695,0.8876297660244772,-148.23028084362204
zoneProx_off,IS,71,392.02752334211186,57.74647887323944,1.6990541278265459,-59.6169090764894
zoneProx_off,OOS,62,22.595769298854748,43.54838709677419,1.0407864549481052,-142.73178573773367
tp1.5,IS,71,374.5607947130823,57.74647887323944,1.6679078740032047,-59.6169090764894
tp1.5,OOS,62,11.308703270634624,43.54838709677419,1.0204127556078653,-156.52461114473346
tp2.5,IS,71,404.3727151224043,57.74647887323944,1.721067779315226,-59.6169090764894
tp2.5,OOS,62,30.789563342972315,43.54838709677419,1.0555766489536438,-134.5379916936161
tp3.0,IS,71,401.8095049882614,57.74647887323944,1.716497124149273,-59.6169090764894
tp3.0,OOS,62,38.98335738708988,43.54838709677419,1.0703668429591824,-134.4951009505471
sl1.0,IS,71,321.75786530979155,60.56338028169014,1.58505884047063,-66.93985238707509
sl1.0,OOS,62,0.6013660698482113,46.774193548387096,1.0010006847990154,-119.32117962035922
regime_on,IS,71,321.75786530979155,60.56338028169014,1.58505884047063,-66.93985238707509
regime_on,OOS,62,0.6013660698482113,46.774193548387096,1.0010006847990154,-119.32117962035922
boost0.0,IS,71,321.75786530979155,60.56338028169014,1.58505884047063,-66.93985238707509
boost0.0,OOS,62,0.6013660698482113,46.774193548387096,1.0010006847990154,-119.32117962035922
boost0.25,IS,71,321.75786530979155,60.56338028169014,1.58505884047063,-66.93985238707509
boost0.25,OOS,62,0.6013660698482113,46.774193548387096,1.0010006847990154,-119.32117962035922
spread0.5,IS,71,321.75786530979155,60.56338028169014,1.58505884047063,-66.93985238707509
spread0.5,OOS,62,0.6013660698482113,46.774193548387096,1.0010006847990154,-119.32117962035922
voltstop_off,IS,71,321.75786530979155,60.56338028169014,1.58505884047063,-66.93985238707509
voltstop_off,OOS,62,0.6013660698482113,46.774193548387096,1.0010006847990154,-119.32117962035922
barconfirm_off,IS,71,185.73651320402305,54.929577464788736,1.2929549230305943,-122.15244394076448
barconfirm_off,OOS,62,48.509933731776115,48.38709677419355,1.0832233738898263,-107.29050940350164
