activo,franja,estrategia,IS_n,IS_pnlR,IS_win,IS_PF,IS_DD,OOS_n,OOS_pnlR,OOS_win,OOS_PF,OOS_DD
XAUUSDm,16-18,FVG,41,-17.0,19.5,0.48,-19.0,42,-36.0,4.8,0.1,-35.0
XAUUSDm,16-18,BREAK24,63,-21.0,22.2,0.57,-24.0,65,1.0,33.8,1.02,-9.0
XAUUSDm,16-18,RETEST24,85,31.0,44.7,1.69,-7.0,92,6.0,34.8,1.1,-12.0
XAUUSDm,16-18,MOMEMA,164,-17.0,29.9,0.85,-28.0,140,19.0,37.9,1.22,-11.0
XAUUSDm,16-18,RSI2,63,19.0,42.9,1.54,-8.0,69,1.0,33.3,1.02,-13.0
XAUUSDm,16-18,VWAP,28,-7.0,25.0,0.67,-12.0,22,2.0,36.4,1.14,-5.0
XAUUSDm,18-20,FVG,64,-52.0,6.2,0.13,-51.0,58,-40.0,10.3,0.23,-42.0
XAUUSDm,18-20,BREAK24,76,2.0,34.2,1.04,-10.0,87,17.0,39.1,1.33,-7.0
XAUUSDm,18-20,RETEST24,89,-17.0,27.0,0.74,-26.0,90,9.0,36.7,1.16,-12.0
XAUUSDm,18-20,MOMEMA,190,18.0,36.3,1.15,-19.0,176,17.0,36.4,1.15,-15.0
XAUUSDm,18-20,RSI2,83,-5.0,31.3,0.91,-19.0,89,-29.0,22.5,0.58,-28.0
XAUUSDm,18-20,VWAP,13,-1.0,30.8,0.89,-2.0,14,-2.0,28.6,0.8,-6.0
XAUUSDm,20-22,FVG,29,-12.0,17.2,0.45,-14.0,27,-12.0,18.5,0.45,-14.0
XAUUSDm,20-22,BREAK24,56,0.0,32.1,1.0,-11.0,24,1.0,33.3,1.07,-6.0
XAUUSDm,20-22,RETEST24,59,-7.0,28.8,0.83,-14.0,35,9.0,40.0,1.47,-5.0
XAUUSDm,20-22,MOMEMA,122,2.0,32.8,1.03,-10.0,74,8.0,36.5,1.17,-6.0
XAUUSDm,20-22,RSI2,60,-7.0,28.3,0.83,-16.0,25,0.0,32.0,1.0,-5.0
XAUUSDm,20-22,VWAP,10,0.0,30.0,1.0,-4.0,8,-5.0,12.5,0.29,-6.0
XAUUSDm,22-24,FVG,53,-37.0,9.4,0.21,-36.0,52,-37.0,9.6,0.21,-39.0
XAUUSDm,22-24,BREAK24,105,3.0,34.3,1.04,-17.0,101,-2.0,32.7,0.97,-24.0
XAUUSDm,22-24,RETEST24,98,2.0,33.7,1.03,-12.0,105,-12.0,29.5,0.84,-24.0
XAUUSDm,22-24,MOMEMA,160,21.0,37.5,1.21,-14.0,195,-15.0,30.8,0.89,-39.0
XAUUSDm,22-24,RSI2,96,-3.0,32.3,0.95,-10.0,95,4.0,34.7,1.06,-14.0
XAUUSDm,22-24,VWAP,47,7.0,38.3,1.24,-8.0,57,3.0,35.1,1.08,-15.0
BTCUSDm,00-02,FVG,97,-71.0,8.2,0.18,-70.0,92,-56.0,13.0,0.3,-55.0
BTCUSDm,00-02,BREAK24,151,-21.0,28.5,0.8,-31.0,131,-11.0,30.5,0.88,-23.0
BTCUSDm,00-02,RETEST24,166,-18.0,28.9,0.84,-26.0,151,-5.0,31.8,0.95,-31.0
BTCUSDm,00-02,MOMEMA,317,-5.0,32.5,0.98,-40.0,281,26.0,36.3,1.15,-13.0
