variante,periodo,n,pnl,win%,PF,maxDD
baseline,IS,64,341.27731104286937,51.5625,1.5927507136457593,-91.21517434741203
baseline,OOS,59,220.0827322814315,50.847457627118644,1.4832953990593412,-99.56912786704879
cooldown10,IS,64,341.27731104286937,51.5625,1.5927507136457593,-91.21517434741203
cooldown10,OOS,59,220.95276846869672,50.847457627118644,1.4852059736962588,-99.56912786704879
cooldown15,IS,64,340.44571104286985,51.5625,1.5913063413493378,-91.21517434741203
cooldown15,OOS,58,238.31180980759234,51.724137931034484,1.545257708987617,-99.56912786704879
tp1.5,IS,64,284.17440796387655,51.5625,1.493570998334811,-91.21517434741203
tp1.5,OOS,59,201.70409766041502,50.847457627118644,1.4429364419469235,-99.56912786704879
tp2.5,IS,64,369.178323295676,51.5625,1.6412108496968567,-91.21517434741203
tp2.5,OOS,59,232.99341540915327,50.847457627118644,1.511646890744577,-99.56912786704879
tp3.0,IS,64,379.0595205704196,51.5625,1.6583731002970528,-91.21517434741203
tp3.0,OOS,59,238.14931296902057,50.847457627118644,1.5229690946397865,-99.56912786704879
sl1.0,IS,62,204.71860118999257,53.2258064516129,1.3593494605915555,-99.3325805947391
sl1.0,OOS,55,124.65405336387778,52.72727272727272,1.262394971788327,-109.27433200029674
regime_on,IS,64,341.27731104286937,51.5625,1.5927507136457593,-91.21517434741203
regime_on,OOS,59,220.0827322814315,50.847457627118644,1.4832953990593412,-99.56912786704879
boost0.0,IS,64,341.27731104286937,51.5625,1.5927507136457593,-91.21517434741203
boost0.0,OOS,59,220.0827322814315,50.847457627118644,1.4832953990593412,-99.56912786704879
boost0.25,IS,64,341.27731104286937,51.5625,1.5927507136457593,-91.21517434741203
boost0.25,OOS,59,220.0827322814315,50.847457627118644,1.4832953990593412,-99.56912786704879
spread0.5,IS,64,341.27731104286937,51.5625,1.5927507136457593,-91.21517434741203
spread0.5,OOS,59,220.0827322814315,50.847457627118644,1.4832953990593412,-99.56912786704879
voltstop_off,IS,64,341.27731104286937,51.5625,1.5927507136457593,-91.21517434741203
voltstop_off,OOS,59,220.0827322814315,50.847457627118644,1.4832953990593412,-99.56912786704879
barconfirm_off,IS,82,217.01091033239624,47.5609756097561,1.2689456393380805,-139.1581609996556
barconfirm_off,OOS,77,59.93046402683498,45.45454545454545,1.0890509786695486,-264.9332525132935
