activo,franja,estrat,tp,ttl,P1_n,P1_pnl,P1_win,P1_PF,P1_DD,P2_n,P2_pnl,P2_win,P2_PF,P2_DD,P3_n,P3_pnl,P3_win,P3_PF,P3_DD
XAUUSDm,00-02,RETEST48,2.5,24,450,7.0,28.9,1.02,-29.0,268,-4.5,28.0,0.98,-17.5,230,-2.0,27.8,0.99,-22.0
XAUUSDm,00-02,RETEST48,2.5,48,450,6.0,28.9,1.02,-29.0,268,-5.5,28.0,0.97,-18.5,230,2.0,28.7,1.01,-23.0
XAUUSDm,00-02,RETEST48,3.0,24,447,6.0,25.1,1.02,-37.0,265,20.0,26.8,1.1,-16.0,228,-4.0,24.1,0.98,-29.0
XAUUSDm,00-02,RETEST48,3.0,48,447,6.0,25.3,1.02,-37.0,265,19.0,26.8,1.1,-16.0,228,-2.0,24.6,0.99,-30.0
XAUUSDm,00-02,VWAP,2.0,24,701,76.0,36.9,1.17,-46.0,386,-8.0,32.6,0.97,-24.0,349,17.0,35.0,1.07,-27.0
XAUUSDm,00-02,VWAP,2.0,48,701,76.0,36.9,1.17,-46.0,386,-8.0,32.6,0.97,-24.0,349,17.0,35.0,1.07,-27.0
XAUUSDm,00-02,VWAP,2.5,24,673,43.0,30.3,1.09,-61.0,373,-2.0,28.4,0.99,-24.0,338,16.5,29.9,1.07,-29.5
XAUUSDm,00-02,VWAP,2.5,48,673,42.0,30.3,1.09,-62.0,373,-2.0,28.4,0.99,-24.0,338,15.5,29.9,1.07,-29.5
XAUUSDm,00-02,VWAP,3.0,24,651,82.0,28.0,1.18,-58.0,368,20.0,26.4,1.07,-26.0,326,12.0,25.8,1.05,-32.0
XAUUSDm,00-02,VWAP,3.0,48,651,82.0,28.1,1.18,-59.0,368,20.0,26.4,1.07,-26.0,326,10.0,25.8,1.04,-33.0
XAUUSDm,00-02,RSI2,2.0,24,586,-37.0,31.2,0.91,-80.0,320,-26.0,30.6,0.88,-44.0,288,-49.0,27.4,0.76,-50.0
XAUUSDm,00-02,RSI2,2.0,48,586,-37.0,31.2,0.91,-80.0,320,-26.0,30.6,0.88,-44.0,288,-48.0,27.8,0.77,-49.0
XAUUSDm,00-02,RSI2,2.5,24,574,-23.5,27.4,0.94,-67.5,314,-39.0,24.8,0.83,-52.0,282,-62.0,22.0,0.71,-63.5
XAUUSDm,00-02,RSI2,2.5,48,574,-21.0,27.5,0.95,-65.5,314,-36.5,25.2,0.84,-49.5,282,-64.0,22.0,0.71,-65.5
XAUUSDm,00-02,RSI2,3.0,24,565,-18.0,24.1,0.96,-63.0,311,-26.0,22.5,0.89,-47.0,277,-61.0,19.1,0.72,-63.0
XAUUSDm,00-02,RSI2,3.0,48,565,-9.0,24.6,0.98,-57.0,311,-29.0,22.5,0.88,-50.0,277,-64.0,19.1,0.71,-66.0
XAUUSDm,02-04,BREAK24,2.0,24,304,70.0,40.5,1.4,-13.0,179,-4.0,31.8,0.97,-16.0,136,-23.0,27.2,0.76,-24.0
XAUUSDm,02-04,BREAK24,2.0,48,304,74.0,41.4,1.42,-13.0,179,1.0,33.5,1.01,-16.0,136,-25.0,27.2,0.75,-26.0
XAUUSDm,02-04,BREAK24,2.5,24,291,87.0,36.4,1.49,-14.5,174,-14.5,24.7,0.88,-18.0,132,-31.5,20.5,0.68,-36.0
XAUUSDm,02-04,BREAK24,2.5,48,291,90.5,37.5,1.5,-15.0,174,-15.5,25.9,0.88,-21.5,132,-30.5,22.0,0.7,-37.0
XAUUSDm,02-04,BREAK24,3.0,24,279,76.0,30.5,1.42,-18.0,167,-13.0,21.6,0.89,-23.0,130,-30.0,17.7,0.7,-35.0
XAUUSDm,02-04,BREAK24,3.0,48,279,94.0,33.3,1.51,-18.0,167,-10.0,23.4,0.92,-25.0,130,-26.0,20.0,0.75,-37.0
XAUUSDm,02-04,BREAK48,2.0,24,237,61.0,41.4,1.45,-10.0,124,-1.0,32.3,0.99,-19.0,92,-23.0,25.0,0.67,-26.0
XAUUSDm,02-04,BREAK48,2.0,48,237,63.0,42.2,1.46,-10.0,124,2.0,33.9,1.02,-19.0,92,-23.0,25.0,0.67,-26.0
XAUUSDm,02-04,BREAK48,2.5,24,229,56.0,34.9,1.39,-11.5,120,-5.5,25.8,0.93,-19.5,89,-21.5,21.3,0.69,-28.5
XAUUSDm,02-04,BREAK48,2.5,48,229,58.0,35.8,1.39,-11.5,120,-3.5,27.5,0.96,-20.5,89,-22.5,21.3,0.68,-29.5
XAUUSDm,02-04,BREAK48,3.0,24,221,55.0,30.3,1.38,-14.0,116,-1.0,23.3,0.99,-17.0,87,-14.0,20.7,0.79,-24.0
XAUUSDm,02-04,BREAK48,3.0,48,221,67.0,32.6,1.45,-14.0,116,5.0,25.9,1.06,-15.0,87,-15.0,20.7,0.78,-25.0
XAUUSDm,02-04,MOMEMA,2.0,24,712,98.0,37.4,1.23,-38.0,404,26.0,34.7,1.1,-28.0,325,34.0,36.3,1.17,-14.0
XAUUSDm,02-04,MOMEMA,2.0,48,712,98.0,37.9,1.22,-35.0,404,40.0,36.6,1.16,-28.0,325,38.0,37.2,1.19,-13.0
XAUUSDm,02-04,MOMEMA,2.5,24,677,74.0,30.7,1.17,-38.5,379,21.0,29.0,1.08,-28.0,312,5.0,26.9,1.02,-18.5
XAUUSDm,02-04,MOMEMA,2.5,48,677,93.0,32.5,1.2,-34.5,379,28.0,30.6,1.11,-24.0,312,17.0,30.1,1.08,-18.5
