activo,franja,estrat,tp,ttl,P1_n,P1_pnl,P1_win,P1_PF,P1_DD,P2_n,P2_pnl,P2_win,P2_PF,P2_DD,P3_n,P3_pnl,P3_win,P3_PF,P3_DD
XAUUSDm,06-08,EMACROSS,2.0,24,119,-26.0,26.1,0.7,-32.0,70,5.0,35.7,1.11,-10.0,57,-12.0,26.3,0.71,-19.0
XAUUSDm,06-08,EMACROSS,2.0,48,119,-26.0,26.1,0.7,-32.0,70,5.0,35.7,1.11,-10.0,57,-12.0,26.3,0.71,-19.0
XAUUSDm,06-08,EMACROSS,2.5,24,119,-21.0,23.5,0.77,-30.5,70,14.0,34.3,1.3,-8.5,57,-8.0,24.6,0.81,-18.5
XAUUSDm,06-08,EMACROSS,2.5,48,119,-21.0,23.5,0.77,-30.5,70,14.0,34.3,1.3,-8.5,57,-8.0,24.6,0.81,-18.5
XAUUSDm,06-08,EMACROSS,3.0,24,119,-27.0,19.3,0.72,-36.0,70,20.0,31.4,1.43,-8.0,57,-8.0,21.1,0.82,-20.0
XAUUSDm,06-08,EMACROSS,3.0,48,119,-27.0,19.3,0.72,-36.0,70,18.0,31.4,1.38,-8.0,57,-8.0,21.1,0.82,-20.0
XAUUSDm,06-08,RETEST24,2.0,24,480,-23.0,31.7,0.93,-35.0,293,-23.0,30.7,0.89,-41.0,221,-35.0,28.1,0.78,-42.0
XAUUSDm,06-08,RETEST24,2.0,48,480,-24.0,31.7,0.93,-36.0,293,-23.0,30.7,0.89,-41.0,221,-35.0,28.1,0.78,-42.0
XAUUSDm,06-08,RETEST24,2.5,24,476,-7.5,27.9,0.98,-35.5,289,-5.5,28.0,0.97,-30.5,219,-38.5,23.3,0.77,-45.0
XAUUSDm,06-08,RETEST24,2.5,48,476,-7.0,28.2,0.98,-34.0,289,-5.5,28.0,0.97,-30.5,219,-37.0,23.7,0.78,-42.5
XAUUSDm,06-08,RETEST24,3.0,24,475,-5.0,24.4,0.99,-35.0,285,8.0,25.6,1.04,-25.0,216,-36.0,20.4,0.79,-45.0
XAUUSDm,06-08,RETEST24,3.0,48,475,-2.0,24.8,0.99,-36.0,285,8.0,25.6,1.04,-25.0,216,-40.0,20.4,0.77,-48.0
XAUUSDm,06-08,RETEST48,2.0,24,356,-11.0,32.3,0.95,-22.0,198,-27.0,28.8,0.81,-36.0,176,-17.0,30.1,0.86,-27.0
XAUUSDm,06-08,RETEST48,2.0,48,356,-11.0,32.3,0.95,-22.0,198,-27.0,28.8,0.81,-36.0,176,-17.0,30.1,0.86,-27.0
XAUUSDm,06-08,RETEST48,2.5,24,355,7.5,29.0,1.03,-20.5,196,-24.5,25.0,0.83,-35.5,174,-25.0,24.1,0.81,-35.5
XAUUSDm,06-08,RETEST48,2.5,48,355,9.0,29.3,1.04,-20.5,196,-24.5,25.0,0.83,-35.5,174,-23.5,24.7,0.82,-33.0
XAUUSDm,06-08,RETEST48,3.0,24,355,5.0,25.1,1.02,-20.0,196,-15.0,23.0,0.9,-33.0,171,-27.0,20.5,0.8,-39.0
XAUUSDm,06-08,RETEST48,3.0,48,355,6.0,25.4,1.02,-21.0,196,-15.0,23.0,0.9,-33.0,171,-31.0,20.5,0.77,-42.0
XAUUSDm,06-08,VWAP,2.0,24,233,37.0,38.6,1.26,-17.0,132,5.0,34.1,1.06,-16.0,114,10.0,36.0,1.14,-10.0
XAUUSDm,06-08,VWAP,2.0,48,233,37.0,38.6,1.26,-17.0,132,3.0,34.1,1.03,-16.0,114,9.0,36.0,1.12,-10.0
XAUUSDm,06-08,VWAP,2.5,24,228,52.0,35.1,1.35,-14.0,132,10.0,30.3,1.11,-18.0,113,10.5,31.0,1.14,-9.5
XAUUSDm,06-08,VWAP,2.5,48,228,52.0,35.1,1.35,-14.0,132,8.0,30.3,1.09,-18.0,113,9.5,31.0,1.12,-9.5
XAUUSDm,06-08,VWAP,3.0,24,219,35.0,28.8,1.23,-20.0,132,27.0,29.5,1.3,-15.0,112,8.0,25.9,1.1,-15.0
XAUUSDm,06-08,VWAP,3.0,48,219,38.0,29.2,1.25,-20.0,132,28.0,30.3,1.3,-15.0,112,8.0,26.8,1.1,-16.0
XAUUSDm,06-08,RSI2,2.0,24,460,-7.0,32.8,0.98,-44.0,246,-11.0,31.7,0.93,-58.0,198,-26.0,28.8,0.81,-33.0
XAUUSDm,06-08,RSI2,2.0,48,460,-7.0,32.8,0.98,-44.0,246,-9.0,32.1,0.95,-56.0,198,-24.0,29.3,0.83,-31.0
XAUUSDm,06-08,RSI2,2.5,24,452,11.0,29.2,1.03,-29.0,242,-16.0,26.4,0.91,-63.0,194,-31.0,23.7,0.79,-44.5
XAUUSDm,06-08,RSI2,2.5,48,452,10.0,29.2,1.03,-29.0,242,-14.5,26.9,0.92,-60.5,194,-28.5,24.2,0.8,-42.0
XAUUSDm,06-08,RSI2,3.0,24,441,18.0,25.9,1.06,-28.0,239,-29.0,21.8,0.84,-68.0,192,-36.0,19.8,0.76,-45.0
XAUUSDm,06-08,RSI2,3.0,48,441,19.0,26.1,1.06,-28.0,239,-31.0,21.8,0.83,-69.0,192,-27.0,21.4,0.82,-39.0
XAUUSDm,08-10,BREAK24,2.0,24,325,32.0,36.6,1.16,-21.0,194,-20.0,29.9,0.85,-29.0,169,-49.0,23.7,0.62,-54.0
XAUUSDm,08-10,BREAK24,2.0,48,325,32.0,36.6,1.16,-21.0,194,-20.0,29.9,0.85,-29.0,169,-49.0,23.7,0.62,-54.0
XAUUSDm,08-10,BREAK24,2.5,24,312,28.5,31.1,1.13,-21.0,191,-30.0,24.1,0.79,-32.0,166,-61.5,17.5,0.54,-64.0
XAUUSDm,08-10,BREAK24,2.5,48,312,31.0,31.4,1.14,-21.0,191,-30.0,24.1,0.79,-32.0,166,-64.5,17.5,0.53,-67.0
XAUUSDm,08-10,BREAK24,3.0,24,304,17.0,26.3,1.08,-30.0,185,-29.0,21.1,0.8,-33.0,161,-69.0,13.7,0.49,-74.0
XAUUSDm,08-10,BREAK24,3.0,48,304,20.0,26.6,1.09,-30.0,185,-29.0,21.1,0.8,-33.0,161,-69.0,14.3,0.5,-74.0
XAUUSDm,08-10,BREAK48,2.0,24,224,31.0,37.9,1.22,-13.0,143,-5.0,32.2,0.95,-19.0,98,-41.0,19.4,0.48,-45.0
XAUUSDm,08-10,BREAK48,2.0,48,224,31.0,37.9,1.22,-13.0,143,-5.0,32.2,0.95,-19.0,98,-41.0,19.4,0.48,-45.0
XAUUSDm,08-10,BREAK48,2.5,24,215,38.0,33.5,1.27,-15.5,141,-11.5,26.2,0.89,-24.0,96,-45.0,14.6,0.44,-45.0
XAUUSDm,08-10,BREAK48,2.5,48,215,40.5,34.0,1.29,-15.5,141,-11.5,26.2,0.89,-24.0,96,-47.0,14.6,0.43,-46.0
XAUUSDm,08-10,BREAK48,3.0,24,209,28.0,28.2,1.19,-16.0,135,-3.0,24.4,0.97,-19.0,95,-52.0,10.5,0.37,-51.0
XAUUSDm,08-10,BREAK48,3.0,48,209,31.0,28.7,1.21,-16.0,135,-3.0,24.4,0.97,-19.0,95,-51.0,11.6,0.39,-50.0
XAUUSDm,08-10,MOMEMA,2.0,24,763,47.0,35.3,1.1,-33.0,463,9.0,33.9,1.03,-18.0,389,-30.0,30.6,0.89,-49.0
XAUUSDm,08-10,MOMEMA,2.0,48,763,47.0,35.4,1.1,-32.0,463,8.0,33.9,1.03,-19.0,389,-26.0,31.1,0.9,-45.0
XAUUSDm,08-10,MOMEMA,2.5,24,704,58.5,30.5,1.12,-21.5,430,-14.5,27.2,0.95,-28.0,362,-30.5,25.7,0.88,-54.0
XAUUSDm,08-10,MOMEMA,2.5,48,704,66.0,31.2,1.14,-21.5,430,-19.5,27.2,0.94,-31.0,362,-29.5,26.2,0.89,-54.5
XAUUSDm,08-10,MOMEMA,3.0,24,678,1.0,24.3,1.0,-46.0,408,-11.0,23.8,0.96,-33.0,345,-48.0,20.9,0.82,-59.0
XAUUSDm,08-10,MOMEMA,3.0,48,678,14.0,25.5,1.03,-35.0,408,-11.0,24.3,0.96,-31.0,345,-37.0,22.3,0.86,-50.0
XAUUSDm,08-10,EMACROSS,2.0,24,105,-9.0,30.5,0.88,-17.0,49,-4.0,30.6,0.88,-15.0,62,-4.0,30.6,0.9,-16.0
XAUUSDm,08-10,EMACROSS,2.0,48,105,-9.0,30.5,0.88,-17.0,49,-4.0,30.6,0.88,-15.0,62,-2.0,32.3,0.95,-14.0
XAUUSDm,08-10,EMACROSS,2.5,24,105,-14.0,24.8,0.82,-25.0,49,0.0,28.6,1.0,-17.5,62,-8.5,24.2,0.82,-19.5
XAUUSDm,08-10,EMACROSS,2.5,48,105,-14.0,24.8,0.82,-25.0,49,0.0,28.6,1.0,-17.5,62,-9.5,24.2,0.8,-20.5
XAUUSDm,08-10,EMACROSS,3.0,24,105,-12.0,21.9,0.85,-25.0,49,4.0,26.5,1.11,-17.0,62,-21.0,16.1,0.59,-23.0
XAUUSDm,08-10,EMACROSS,3.0,48,105,-9.0,22.9,0.89,-23.0,49,7.0,28.6,1.2,-17.0,62,-22.0,16.1,0.58,-24.0
XAUUSDm,08-10,RETEST24,2.0,24,403,-31.0,30.8,0.89,-48.0,222,57.0,41.4,1.45,-9.0,228,-11.0,31.6,0.93,-23.0
XAUUSDm,08-10,RETEST24,2.0,48,403,-31.0,30.8,0.89,-48.0,222,57.0,41.9,1.44,-9.0,228,-12.0,31.6,0.92,-24.0
XAUUSDm,08-10,RETEST24,2.5,24,398,-44.5,24.9,0.85,-66.0,220,56.5,35.0,1.42,-13.5,226,-9.5,27.0,0.94,-26.5
XAUUSDm,08-10,RETEST24,2.5,48,398,-34.0,26.1,0.88,-57.5,220,60.0,36.4,1.43,-14.5,226,-5.5,27.9,0.97,-26.5
XAUUSDm,08-10,RETEST24,3.0,24,392,-36.0,21.9,0.88,-62.0,215,39.0,27.9,1.28,-18.0,223,-30.0,20.2,0.82,-35.0
XAUUSDm,08-10,RETEST24,3.0,48,392,-20.0,23.7,0.93,-50.0,215,52.0,30.7,1.36,-16.0,223,-19.0,22.9,0.89,-27.0
XAUUSDm,08-10,RETEST48,2.0,24,292,-34.0,29.5,0.83,-42.0,152,36.0,40.8,1.41,-10.0,152,-28.0,27.0,0.75,-30.0
XAUUSDm,08-10,RETEST48,2.0,48,292,-34.0,29.5,0.83,-42.0,152,34.0,40.8,1.38,-10.0,152,-29.0,27.0,0.74,-31.0
XAUUSDm,08-10,RETEST48,2.5,24,289,-49.5,23.2,0.77,-60.0,152,38.5,34.9,1.41,-11.0,152,-26.5,23.0,0.77,-29.5
XAUUSDm,08-10,RETEST48,2.5,48,289,-44.0,24.2,0.8,-53.5,152,37.0,35.5,1.38,-11.5,152,-22.5,24.3,0.8,-26.0
XAUUSDm,08-10,RETEST48,3.0,24,288,-40.0,20.8,0.82,-62.0,151,26.0,27.8,1.26,-20.0,152,-27.0,19.1,0.76,-31.0
XAUUSDm,08-10,RETEST48,3.0,48,288,-32.0,22.2,0.86,-55.0,151,33.0,30.5,1.31,-18.0,152,-16.0,22.4,0.86,-21.0
XAUUSDm,08-10,VWAP,2.0,24,159,38.0,40.9,1.41,-9.0,97,14.0,38.1,1.23,-8.0,84,-5.0,31.0,0.91,-15.0
XAUUSDm,08-10,VWAP,2.0,48,159,39.0,41.5,1.42,-9.0,97,14.0,38.1,1.23,-8.0,84,-3.0,32.1,0.95,-13.0
XAUUSDm,08-10,VWAP,2.5,24,156,39.5,35.3,1.4,-8.0,92,10.5,31.5,1.17,-9.5,84,-2.5,27.4,0.96,-15.5
XAUUSDm,08-10,VWAP,2.5,48,156,36.5,35.3,1.36,-8.0,92,9.5,31.5,1.15,-9.5,84,0.0,28.6,1.0,-13.0
XAUUSDm,08-10,VWAP,3.0,24,154,33.0,29.2,1.32,-10.0,90,8.0,26.7,1.12,-13.0,84,-3.0,23.8,0.95,-20.0
XAUUSDm,08-10,VWAP,3.0,48,154,34.0,30.5,1.32,-11.0,90,6.0,26.7,1.09,-13.0,84,0.0,25.0,1.0,-17.0
XAUUSDm,08-10,RSI2,2.0,24,343,-40.0,29.2,0.83,-69.0,202,2.0,33.7,1.01,-32.0,174,28.0,38.5,1.26,-10.0
XAUUSDm,08-10,RSI2,2.0,48,343,-40.0,29.4,0.83,-68.0,202,2.0,33.7,1.01,-32.0,174,30.0,39.1,1.28,-10.0
XAUUSDm,08-10,RSI2,2.5,24,339,-37.5,24.5,0.85,-68.0,199,4.0,29.1,1.03,-33.5,173,14.0,30.1,1.12,-16.5
XAUUSDm,08-10,RSI2,2.5,48,339,-27.5,26.3,0.89,-61.5,199,4.0,29.1,1.03,-33.5,173,16.0,31.2,1.13,-17.0
XAUUSDm,08-10,RSI2,3.0,24,336,-48.0,20.2,0.81,-68.0,198,1.0,24.2,1.01,-34.0,170,14.0,25.9,1.12,-32.0
XAUUSDm,08-10,RSI2,3.0,48,336,-35.0,22.3,0.87,-59.0,198,11.0,26.3,1.08,-31.0,170,22.0,28.2,1.18,-25.0
XAUUSDm,10-12,BREAK24,2.0,24,356,20.0,35.1,1.09,-37.0,155,-17.0,29.7,0.84,-29.0,188,8.0,34.6,1.07,-24.0
XAUUSDm,10-12,BREAK24,2.0,48,356,22.0,35.4,1.1,-35.0,155,-17.0,29.7,0.84,-29.0,188,10.0,35.1,1.08,-24.0
XAUUSDm,10-12,BREAK24,2.5,24,341,8.5,29.0,1.04,-47.0,149,-16.0,25.5,0.86,-31.5,180,17.0,31.1,1.14,-23.0
XAUUSDm,10-12,BREAK24,2.5,48,341,16.0,29.9,1.07,-42.0,149,-16.0,25.5,0.86,-31.5,180,16.0,31.1,1.13,-23.0
XAUUSDm,10-12,BREAK24,3.0,24,337,10.0,25.5,1.04,-52.0,144,-12.0,22.9,0.89,-35.0,178,3.0,25.3,1.02,-24.0
XAUUSDm,10-12,BREAK24,3.0,48,337,19.0,26.4,1.08,-46.0,144,-12.0,22.9,0.89,-35.0,178,2.0,25.3,1.02,-24.0
XAUUSDm,10-12,BREAK48,2.0,24,231,-11.0,31.6,0.93,-42.0,85,-16.0,27.1,0.74,-25.0,125,8.0,35.2,1.1,-15.0
XAUUSDm,10-12,BREAK48,2.0,48,231,-9.0,32.0,0.94,-40.0,85,-16.0,27.1,0.74,-25.0,125,10.0,36.0,1.12,-15.0
XAUUSDm,10-12,BREAK48,2.5,24,222,-12.5,26.6,0.92,-51.5,83,-13.0,24.1,0.79,-24.0,121,9.5,30.6,1.11,-11.5
XAUUSDm,10-12,BREAK48,2.5,48,222,-5.0,27.9,0.97,-46.5,83,-13.0,24.1,0.79,-24.0,121,8.5,30.6,1.1,-11.5
XAUUSDm,10-12,BREAK48,3.0,24,219,-20.0,22.4,0.88,-57.0,80,-12.0,21.2,0.81,-27.0,121,-4.0,24.0,0.96,-20.0
XAUUSDm,10-12,BREAK48,3.0,48,219,-11.0,23.7,0.93,-51.0,80,-12.0,21.2,0.81,-27.0,121,-5.0,24.0,0.95,-20.0
XAUUSDm,10-12,MOMEMA,2.0,24,796,39.0,34.9,1.08,-29.0,443,-29.0,31.2,0.9,-49.0,425,-19.0,31.8,0.93,-33.0
XAUUSDm,10-12,MOMEMA,2.0,48,796,41.0,35.1,1.08,-29.0,443,-29.0,31.2,0.9,-49.0,425,-17.0,32.0,0.94,-33.0
XAUUSDm,10-12,MOMEMA,2.5,24,744,35.0,29.8,1.07,-37.0,417,-45.0,25.4,0.85,-66.5,401,-19.0,26.9,0.93,-36.5
XAUUSDm,10-12,MOMEMA,2.5,48,744,40.0,30.1,1.08,-37.0,417,-46.0,25.4,0.85,-66.5,401,-19.5,27.2,0.93,-37.0
XAUUSDm,10-12,MOMEMA,3.0,24,717,44.0,26.4,1.08,-30.0,393,-75.0,19.8,0.76,-88.0,384,-22.0,23.2,0.92,-42.0
XAUUSDm,10-12,MOMEMA,3.0,48,717,59.0,27.1,1.11,-28.0,393,-77.0,20.1,0.75,-91.0,384,-20.0,23.7,0.93,-40.0
XAUUSDm,10-12,EMACROSS,2.0,24,111,10.0,36.0,1.14,-10.0,51,-15.0,23.5,0.62,-16.0,71,-11.0,28.2,0.78,-19.0
XAUUSDm,10-12,EMACROSS,2.0,48,111,12.0,36.9,1.17,-10.0,51,-15.0,23.5,0.62,-16.0,71,-11.0,28.2,0.78,-19.0
XAUUSDm,10-12,EMACROSS,2.5,24,111,16.0,32.4,1.22,-10.0,51,-12.5,21.6,0.69,-17.5,71,-15.0,22.5,0.73,-21.5
XAUUSDm,10-12,EMACROSS,2.5,48,111,15.0,32.4,1.2,-10.0,51,-12.5,21.6,0.69,-17.5,71,-15.0,22.5,0.73,-21.5
XAUUSDm,10-12,EMACROSS,3.0,24,111,10.0,27.0,1.12,-10.0,51,-11.0,19.6,0.73,-16.0,71,-26.0,15.5,0.56,-33.0
XAUUSDm,10-12,EMACROSS,3.0,48,111,9.0,27.0,1.11,-10.0,51,-11.0,19.6,0.73,-16.0,71,-23.0,16.9,0.61,-30.0
XAUUSDm,10-12,RETEST24,2.0,24,429,-14.0,32.2,0.95,-34.0,207,45.0,40.6,1.37,-13.0,232,38.0,38.8,1.27,-14.0
XAUUSDm,10-12,RETEST24,2.0,48,429,-15.0,32.2,0.95,-35.0,207,45.0,40.6,1.37,-13.0,232,38.0,38.8,1.27,-14.0
XAUUSDm,10-12,RETEST24,2.5,24,426,-8.5,27.9,0.97,-34.5,205,64.5,37.6,1.5,-11.5,227,28.5,32.2,1.19,-20.5
XAUUSDm,10-12,RETEST24,2.5,48,426,-9.5,27.9,0.97,-35.5,205,64.5,37.6,1.5,-11.5,227,28.5,32.2,1.19,-20.5
XAUUSDm,10-12,RETEST24,3.0,24,421,2.0,24.9,1.01,-22.0,198,79.0,34.8,1.62,-11.0,225,31.0,28.4,1.19,-26.0
XAUUSDm,10-12,RETEST24,3.0,48,421,7.0,25.4,1.02,-20.0,198,82.0,35.4,1.64,-11.0,225,31.0,28.4,1.19,-26.0
XAUUSDm,10-12,RETEST48,2.0,24,296,19.0,35.5,1.1,-19.0,123,45.0,45.5,1.67,-11.0,147,36.0,41.5,1.42,-15.0
XAUUSDm,10-12,RETEST48,2.0,48,296,19.0,35.5,1.1,-19.0,123,45.0,45.5,1.67,-11.0,147,36.0,41.5,1.42,-15.0
XAUUSDm,10-12,RETEST48,2.5,24,293,29.0,31.4,1.14,-18.0,123,62.5,43.1,1.89,-11.0,146,40.5,36.3,1.44,-15.0
XAUUSDm,10-12,RETEST48,2.5,48,293,29.0,31.4,1.14,-18.0,123,62.5,43.1,1.89,-11.0,146,39.5,36.3,1.42,-15.0
XAUUSDm,10-12,RETEST48,3.0,24,293,29.0,27.3,1.14,-27.0,122,63.0,37.7,1.84,-12.0,145,48.0,33.1,1.5,-18.0
XAUUSDm,10-12,RETEST48,3.0,48,293,35.0,28.0,1.17,-27.0,122,66.0,38.5,1.88,-12.0,145,47.0,33.1,1.48,-18.0
XAUUSDm,10-12,VWAP,2.0,24,156,15.0,36.5,1.15,-10.0,84,15.0,39.3,1.29,-4.0,102,6.0,35.3,1.09,-14.0
XAUUSDm,10-12,VWAP,2.0,48,156,15.0,36.5,1.15,-10.0,84,15.0,39.3,1.29,-4.0,102,6.0,35.3,1.09,-14.0
XAUUSDm,10-12,VWAP,2.5,24,151,7.5,29.8,1.07,-12.5,81,10.0,32.1,1.18,-10.0,100,-4.5,27.0,0.94,-15.5
XAUUSDm,10-12,VWAP,2.5,48,151,6.5,29.8,1.06,-13.0,81,10.0,32.1,1.18,-10.0,100,-5.5,27.0,0.92,-15.5
XAUUSDm,10-12,VWAP,3.0,24,151,11.0,26.5,1.1,-12.0,78,-9.0,21.8,0.85,-9.0,100,9.0,27.0,1.12,-12.0
XAUUSDm,10-12,VWAP,3.0,48,151,13.0,27.2,1.12,-13.0,78,-10.0,21.8,0.84,-10.0,100,8.0,27.0,1.11,-12.0
XAUUSDm,10-12,RSI2,2.0,24,372,-9.0,32.5,0.96,-40.0,159,9.0,35.2,1.09,-22.0,193,-7.0,32.1,0.95,-23.0
XAUUSDm,10-12,RSI2,2.0,48,372,-9.0,32.5,0.96,-40.0,159,9.0,35.2,1.09,-22.0,193,-7.0,32.1,0.95,-23.0
XAUUSDm,10-12,RSI2,2.5,24,369,-14.5,27.4,0.95,-39.0,159,30.0,34.0,1.29,-16.0,188,-2.5,28.2,0.98,-25.5
XAUUSDm,10-12,RSI2,2.5,48,369,-15.5,27.4,0.94,-39.0,159,30.0,34.0,1.29,-16.0,188,-2.5,28.2,0.98,-25.5
XAUUSDm,10-12,RSI2,3.0,24,364,-15.0,23.9,0.95,-41.0,158,38.0,31.0,1.35,-25.0,186,-5.0,24.2,0.96,-26.0
XAUUSDm,10-12,RSI2,3.0,48,364,-16.0,23.9,0.94,-41.0,158,38.0,31.0,1.35,-25.0,186,-6.0,24.2,0.96,-27.0
XAUUSDm,12-14,BREAK24,2.0,24,539,-59.0,29.7,0.84,-76.0,315,27.0,36.2,1.13,-15.0,253,-22.0,30.4,0.88,-26.0
XAUUSDm,12-14,BREAK24,2.0,48,539,-59.0,29.7,0.84,-76.0,315,27.0,36.2,1.13,-15.0,253,-22.0,30.4,0.88,-26.0
XAUUSDm,12-14,BREAK24,2.5,24,518,-59.5,25.3,0.85,-75.0,304,50.5,33.2,1.25,-13.5,244,-6.0,27.9,0.97,-20.0
XAUUSDm,12-14,BREAK24,2.5,48,518,-59.5,25.3,0.85,-75.0,304,53.0,33.6,1.26,-13.5,244,-6.0,27.9,0.97,-20.0
XAUUSDm,12-14,BREAK24,3.0,24,504,-71.0,21.4,0.82,-77.0,292,42.0,28.4,1.2,-20.0,238,-9.0,23.9,0.95,-31.0
XAUUSDm,12-14,BREAK24,3.0,48,504,-71.0,21.4,0.82,-77.0,292,48.0,29.1,1.23,-17.0,238,-6.0,24.4,0.97,-31.0
XAUUSDm,12-14,BREAK48,2.0,24,408,-45.0,29.7,0.84,-49.0,218,34.0,38.5,1.25,-13.0,194,-20.0,29.9,0.85,-20.0
XAUUSDm,12-14,BREAK48,2.0,48,408,-45.0,29.7,0.84,-49.0,218,34.0,38.5,1.25,-13.0,194,-20.0,29.9,0.85,-20.0
XAUUSDm,12-14,BREAK48,2.5,24,394,-44.0,25.4,0.85,-49.0,209,47.5,34.9,1.35,-11.0,190,-4.5,27.9,0.97,-16.0
XAUUSDm,12-14,BREAK48,2.5,48,394,-44.0,25.4,0.85,-49.0,209,50.0,35.4,1.37,-11.0,190,-4.5,27.9,0.97,-16.0
XAUUSDm,12-14,BREAK48,3.0,24,383,-43.0,22.2,0.86,-47.0,198,56.0,31.8,1.42,-16.0,187,-3.0,24.6,0.98,-18.0
XAUUSDm,12-14,BREAK48,3.0,48,383,-43.0,22.2,0.86,-47.0,198,62.0,32.8,1.47,-13.0,187,-3.0,24.6,0.98,-18.0
XAUUSDm,12-14,MOMEMA,2.0,24,989,-14.0,32.9,0.98,-54.0,554,64.0,37.2,1.18,-14.0,503,7.0,33.8,1.02,-20.0
XAUUSDm,12-14,MOMEMA,2.0,48,989,-14.0,32.9,0.98,-54.0,554,64.0,37.2,1.18,-14.0,503,7.0,33.8,1.02,-20.0
XAUUSDm,12-14,MOMEMA,2.5,24,936,-12.0,28.2,0.98,-57.5,533,87.5,33.2,1.25,-14.5,482,36.0,30.7,1.11,-17.0
XAUUSDm,12-14,MOMEMA,2.5,48,936,-12.0,28.2,0.98,-57.5,533,90.0,33.4,1.25,-14.5,482,36.0,30.7,1.11,-17.0
XAUUSDm,12-14,MOMEMA,3.0,24,895,9.0,25.3,1.01,-56.0,506,81.0,28.9,1.23,-15.0,465,2.0,24.9,1.01,-29.0
XAUUSDm,12-14,MOMEMA,3.0,48,895,9.0,25.3,1.01,-56.0,506,86.0,29.2,1.24,-15.0,465,4.0,25.2,1.01,-29.0
XAUUSDm,12-14,EMACROSS,2.0,24,159,15.0,36.5,1.15,-10.0,117,12.0,36.8,1.16,-10.0,79,-25.0,22.8,0.59,-25.0
XAUUSDm,12-14,EMACROSS,2.0,48,159,15.0,36.5,1.15,-10.0,117,12.0,36.8,1.16,-10.0,79,-25.0,22.8,0.59,-25.0
XAUUSDm,12-14,EMACROSS,2.5,24,159,30.0,34.0,1.29,-10.0,117,19.5,33.3,1.25,-8.5,79,-19.5,21.5,0.69,-25.0
XAUUSDm,12-14,EMACROSS,2.5,48,159,30.0,34.0,1.29,-10.0,117,19.5,33.3,1.25,-8.5,79,-19.5,21.5,0.69,-25.0
XAUUSDm,12-14,EMACROSS,3.0,24,159,29.0,29.6,1.26,-10.0,117,7.0,26.5,1.08,-20.0,79,-15.0,20.3,0.76,-26.0
XAUUSDm,12-14,EMACROSS,3.0,48,159,29.0,29.6,1.26,-10.0,117,7.0,26.5,1.08,-20.0,79,-15.0,20.3,0.76,-26.0
XAUUSDm,12-14,RETEST24,2.0,24,641,43.0,35.6,1.1,-29.0,337,11.0,34.4,1.05,-27.0,294,21.0,35.7,1.11,-30.0
XAUUSDm,12-14,RETEST24,2.0,48,641,43.0,35.6,1.1,-29.0,337,11.0,34.4,1.05,-27.0,294,21.0,35.7,1.11,-30.0
XAUUSDm,12-14,RETEST24,2.5,24,635,55.5,31.0,1.13,-24.5,334,7.5,29.0,1.03,-25.5,293,27.5,31.1,1.14,-35.5
XAUUSDm,12-14,RETEST24,2.5,48,635,58.0,31.2,1.13,-24.5,334,12.5,29.6,1.05,-23.5,293,29.0,31.4,1.14,-33.0
XAUUSDm,12-14,RETEST24,3.0,24,627,68.0,27.6,1.15,-25.0,327,11.0,25.7,1.05,-29.0,286,24.0,26.9,1.12,-45.0
XAUUSDm,12-14,RETEST24,3.0,48,627,77.0,28.1,1.17,-22.0,327,14.0,26.0,1.06,-29.0,286,26.0,27.3,1.12,-42.0
XAUUSDm,12-14,RETEST48,2.0,24,495,0.0,33.3,1.0,-43.0,261,9.0,34.5,1.05,-30.0,220,14.0,35.5,1.1,-18.0
XAUUSDm,12-14,RETEST48,2.0,48,495,0.0,33.3,1.0,-43.0,261,9.0,34.5,1.05,-30.0,220,14.0,35.5,1.1,-18.0
XAUUSDm,12-14,RETEST48,2.5,24,493,15.5,29.4,1.04,-32.5,260,1.0,28.5,1.01,-30.5,219,17.5,30.6,1.12,-20.0
XAUUSDm,12-14,RETEST48,2.5,48,493,18.0,29.6,1.05,-32.5,260,6.0,29.2,1.03,-30.5,219,19.0,31.1,1.13,-17.5
XAUUSDm,12-14,RETEST48,3.0,24,488,14.0,25.6,1.04,-49.0,258,0.0,24.8,1.0,-36.0,217,5.0,25.3,1.03,-26.0
XAUUSDm,12-14,RETEST48,3.0,48,488,20.0,26.0,1.06,-49.0,258,3.0,25.2,1.02,-36.0,217,7.0,25.8,1.04,-23.0
XAUUSDm,12-14,VWAP,2.0,24,247,-16.0,31.2,0.91,-31.0,162,0.0,33.3,1.0,-22.0,138,-6.0,31.9,0.94,-16.0
XAUUSDm,12-14,VWAP,2.0,48,247,-16.0,31.2,0.91,-31.0,162,0.0,33.3,1.0,-22.0,138,-6.0,31.9,0.94,-16.0
XAUUSDm,12-14,VWAP,2.5,24,240,-12.5,27.1,0.93,-28.5,159,5.5,29.6,1.05,-29.5,136,-3.0,27.9,0.97,-22.5
XAUUSDm,12-14,VWAP,2.5,48,240,-12.5,27.1,0.93,-28.5,159,5.5,29.6,1.05,-29.5,136,-3.0,27.9,0.97,-22.5
XAUUSDm,12-14,VWAP,3.0,24,239,-23.0,22.6,0.88,-37.0,151,-10.0,23.2,0.91,-43.0,135,-2.0,24.4,0.98,-21.0
XAUUSDm,12-14,VWAP,3.0,48,239,-23.0,22.6,0.88,-37.0,151,-11.0,23.2,0.91,-44.0,135,-2.0,24.4,0.98,-21.0
