entry_time,exit_time,type,entry,sl,tp,vol,pnl,result
1770040800,1770048000,buy,4717.367,4620.101240816327,4960.076397959184,0.06,-5.835945551020395,-1
1770057000,1770074280,sell,4640.5289999999995,4730.545983226908,4415.94154193273,0.06,-5.401018993614507,-1
1770077700,1770105660,buy,4792.7255,4914.345415287023,4992.623396892237,0.07,8.513394070091618,-1
1770137100,1770140580,buy,4979.912499999999,4927.369405944687,5110.8152351382805,0.11,-5.779740346084363,-1
1770144300,1770159720,sell,4909.8905,4962.471190282387,4778.893774294034,0.11,-5.783875931062567,-1
1770160020,1770165120,buy,4929.069,4975.0260175151325,5053.988176876513,0.11,5.055271926664528,-1
1770170400,1770215880,buy,5049.566,5000.575614344359,5171.586964139103,0.12,-5.878846278676938,-1
1770217620,1770219540,sell,5002.563999999999,4909.91249488584,4896.179051141602,0.14,12.971210715982345,-1
1770232500,1770246180,sell,4947.847,4991.569846650819,4838.994883372951,0.13,-5.683970064606537,-1
1770247860,1770254100,buy,5013.5885,4971.592517750783,5118.123455623041,0.14,-5.879437514890306,-1
1770256800,1770259860,sell,4956.027,4840.022490288039,4836.877097119599,0.12,14.297988345648118,1
1770261300,1770270300,sell,4841.441,4891.570221069864,4716.572947325341,0.12,-6.015506528383666,-1
1770270600,1770294420,sell,4894.3065,4831.437461814349,4771.458495397871,0.12,7.544284582278051,-1
1770296400,1770310200,sell,4842.212500000001,4888.177720700943,4727.754448247645,0.13,-5.97547869112248,-1
1770310920,1770320460,buy,4879.138,4831.955554018127,4996.639114954681,0.12,-5.661893517824719,-1
1770320880,1770327060,buy,4841.7705,4797.385817495222,4952.277206261943,0.13,-5.770008725621092,-1
1770332520,1770337200,sell,4768.4845,4673.496571161879,4653.736964410535,0.13,12.348430748955698,-1
1770337440,1770338280,sell,4694.768999999999,4743.821284647515,4572.59328838121,0.12,-5.886274157701918,-1
1770339600,1770344880,sell,4752.518,4803.284807172693,4626.055982068267,0.11,-5.58434878899623,-1
1770345900,1770358020,buy,4827.9605,4880.428510771601,4957.692659508038,0.11,5.771481184876138,-1
1770358080,1770386880,buy,4874.808,4918.659725753372,5001.7469692239965,0.11,4.823689832870941,-1
1770591720,1770593700,buy,4970.3145,5029.917705515356,5058.0124448464485,0.17,10.132544937610438,-1
1770606000,1770654780,buy,5008.5215,5070.35462812424,5095.7828462817415,0.17,10.511631781120787,-1
1770654840,1770678600,buy,5068.372,5039.966512496959,5138.930718757603,0.21,-5.965152375638717,-1
1770679800,1770690180,sell,5019.1605,5048.029208447781,4947.443728880548,0.2,-5.773741689556118,-1
1770690600,1770693480,buy,5048.697,5020.840744876175,5117.882637809561,0.21,-5.8498135760031795,-1
1770693780,1770713160,sell,5023.607999999999,5050.753065472122,4956.200336319693,0.22,-5.971914403867049,-1
1770713760,1770734220,buy,5042.915,5066.1857361834345,5103.756549824574,0.24,5.584976684024295,-1
1770736500,1770738060,sell,5039.2405,5014.585689615382,4974.546672527481,0.23,5.670606388462147,-1
1770745500,1770747540,buy,5038.1835,5013.466975830906,5099.519810422733,0.24,-5.931965800582475,-1
1770748320,1770756480,sell,5012.8835,5037.182701014158,4952.5904974646055,0.24,-5.8318082433979,-1
1770756960,1770785280,buy,5031.7805,5051.324659458328,5090.188690961641,0.25,4.886039864582017,-1
1770785340,1770807480,buy,5050.952,5093.188447392623,5101.914107559538,0.29,12.248569743860589,-1
1770807600,1770813660,buy,5094.431,5073.975490315459,5145.114774211352,0.29,-5.932097808516782,-1
1770815880,1770816660,buy,5067.719,5042.337759506697,5130.717101233258,0.23,-5.837685313459752,-1
1770818700,1770821460,sell,5074.915,5049.276857900809,5009.6923345691175,0.22,5.640391261822042,-1
1770822360,1770901620,sell,5074.255,5058.1084574095785,5007.588810671324,0.22,3.552239369892759,-1
1770901680,1770912660,buy,5059.178500000001,5040.159912544938,5106.269968637655,0.31,-5.89576211106938,-1
