activo,franja,estrat,periodo,n,pnlR,win,PF,DD
BTCUSDm,04-06,EMACROSS,P3_26f-26a,71,12.0,38.0,1.29,-8.0
BTCUSDm,04-06,RSI2,P3_26f-26a,243,-17.0,30.5,0.9,-25.0
BTCUSDm,04-06,RSI14DIP,P3_26f-26a,0,0,0,0,0
BTCUSDm,04-06,VWAP,P3_26f-26a,172,27.0,38.4,1.26,-20.0
BTCUSDm,04-06,BBREV,P3_26f-26a,344,29.0,35.5,1.13,-16.0
BTCUSDm,06-08,FVG,P3_26f-26a,171,-115.0,10.5,0.24,-114.0
BTCUSDm,06-08,BREAK24,P3_26f-26a,256,33.0,37.1,1.21,-16.0
BTCUSDm,06-08,BREAK48,P3_26f-26a,180,24.0,37.2,1.22,-11.0
BTCUSDm,06-08,RETEST24,P3_26f-26a,266,-29.0,29.3,0.84,-46.0
BTCUSDm,06-08,RETEST48,P3_26f-26a,179,-34.0,26.8,0.74,-37.0
BTCUSDm,06-08,MOMEMA,P3_26f-26a,539,52.0,36.2,1.15,-19.0
BTCUSDm,06-08,EMACROSS,P3_26f-26a,87,18.0,40.2,1.35,-10.0
BTCUSDm,06-08,RSI2,P3_26f-26a,271,-25.0,29.9,0.87,-30.0
BTCUSDm,06-08,RSI14DIP,P3_26f-26a,0,0,0,0,0
BTCUSDm,06-08,VWAP,P3_26f-26a,134,23.0,38.8,1.28,-15.0
BTCUSDm,06-08,BBREV,P3_26f-26a,386,10.0,33.9,1.04,-33.0
BTCUSDm,08-10,FVG,P3_26f-26a,148,-114.0,7.4,0.16,-113.0
BTCUSDm,08-10,BREAK24,P3_26f-26a,251,41.0,38.6,1.27,-9.0
BTCUSDm,08-10,BREAK48,P3_26f-26a,160,29.0,39.4,1.3,-10.0
BTCUSDm,08-10,RETEST24,P3_26f-26a,278,31.0,37.1,1.18,-13.0
BTCUSDm,08-10,RETEST48,P3_26f-26a,163,33.0,39.9,1.34,-13.0
BTCUSDm,08-10,MOMEMA,P3_26f-26a,556,122.0,40.5,1.37,-15.0
BTCUSDm,08-10,EMACROSS,P3_26f-26a,80,-5.0,31.2,0.91,-12.0
BTCUSDm,08-10,RSI2,P3_26f-26a,257,-17.0,30.7,0.9,-27.0
BTCUSDm,08-10,RSI14DIP,P3_26f-26a,0,0,0,0,0
BTCUSDm,08-10,VWAP,P3_26f-26a,128,13.0,36.7,1.16,-11.0
BTCUSDm,08-10,BBREV,P3_26f-26a,352,-13.0,31.8,0.95,-47.0
BTCUSDm,10-12,FVG,P3_26f-26a,145,-90.0,12.4,0.29,-89.0
BTCUSDm,10-12,BREAK24,P3_26f-26a,230,11.0,34.8,1.07,-22.0
BTCUSDm,10-12,BREAK48,P3_26f-26a,155,7.0,34.8,1.07,-11.0
BTCUSDm,10-12,RETEST24,P3_26f-26a,274,-54.0,26.3,0.73,-56.0
BTCUSDm,10-12,RETEST48,P3_26f-26a,170,-37.0,25.9,0.7,-38.0
BTCUSDm,10-12,MOMEMA,P3_26f-26a,532,41.0,35.7,1.12,-35.0
BTCUSDm,10-12,EMACROSS,P3_26f-26a,72,9.0,37.5,1.2,-11.0
BTCUSDm,10-12,RSI2,P3_26f-26a,236,-10.0,31.8,0.94,-20.0
BTCUSDm,10-12,RSI14DIP,P3_26f-26a,0,0,0,0,0
BTCUSDm,10-12,VWAP,P3_26f-26a,107,17.0,38.3,1.26,-18.0
BTCUSDm,10-12,BBREV,P3_26f-26a,339,-1.0,33.0,1.0,-21.0
BTCUSDm,12-14,FVG,P3_26f-26a,182,-110.0,13.2,0.3,-109.0
BTCUSDm,12-14,BREAK24,P3_26f-26a,375,37.0,36.3,1.16,-18.0
BTCUSDm,12-14,BREAK48,P3_26f-26a,267,33.0,37.1,1.2,-20.0
BTCUSDm,12-14,RETEST24,P3_26f-26a,394,-40.0,29.4,0.85,-48.0
BTCUSDm,12-14,RETEST48,P3_26f-26a,290,-35.0,28.6,0.83,-38.0
BTCUSDm,12-14,MOMEMA,P3_26f-26a,674,96.0,37.8,1.23,-31.0
BTCUSDm,12-14,EMACROSS,P3_26f-26a,102,10.0,36.3,1.16,-7.0
BTCUSDm,12-14,RSI2,P3_26f-26a,385,16.0,34.3,1.06,-19.0
BTCUSDm,12-14,RSI14DIP,P3_26f-26a,0,0,0,0,0
BTCUSDm,12-14,VWAP,P3_26f-26a,142,-1.0,33.1,0.99,-20.0
BTCUSDm,12-14,BBREV,P3_26f-26a,517,-60.0,29.4,0.84,-69.0
BTCUSDm,14-16,FVG,P3_26f-26a,152,-110.0,8.6,0.19,-111.0
BTCUSDm,14-16,BREAK24,P3_26f-26a,273,-10.0,31.9,0.95,-25.0
BTCUSDm,14-16,BREAK48,P3_26f-26a,222,-5.0,32.4,0.97,-29.0
BTCUSDm,14-16,RETEST24,P3_26f-26a,308,-34.0,28.9,0.84,-51.0
BTCUSDm,14-16,RETEST48,P3_26f-26a,260,-15.0,30.8,0.91,-36.0
BTCUSDm,14-16,MOMEMA,P3_26f-26a,574,5.0,32.9,1.01,-25.0
BTCUSDm,14-16,EMACROSS,P3_26f-26a,84,29.0,44.0,1.64,-7.0
BTCUSDm,14-16,RSI2,P3_26f-26a,281,3.0,33.5,1.02,-13.0
BTCUSDm,14-16,RSI14DIP,P3_26f-26a,0,0,0,0,0
BTCUSDm,14-16,VWAP,P3_26f-26a,126,6.0,34.9,1.07,-9.0
BTCUSDm,14-16,BBREV,P3_26f-26a,405,23.0,34.8,1.09,-27.0
BTCUSDm,16-18,FVG,P3_26f-26a,155,-127.0,5.8,0.12,-126.0
BTCUSDm,16-18,BREAK24,P3_26f-26a,212,-32.0,27.8,0.79,-43.0
BTCUSDm,16-18,BREAK48,P3_26f-26a,139,-29.0,25.9,0.71,-41.0
BTCUSDm,16-18,RETEST24,P3_26f-26a,242,15.0,34.3,1.1,-16.0
BTCUSDm,16-18,RETEST48,P3_26f-26a,134,22.0,37.3,1.28,-15.0
BTCUSDm,16-18,MOMEMA,P3_26f-26a,521,-12.0,32.1,0.97,-48.0
BTCUSDm,16-18,EMACROSS,P3_26f-26a,55,2.0,34.5,1.06,-14.0
BTCUSDm,16-18,RSI2,P3_26f-26a,219,37.0,37.9,1.29,-14.0
BTCUSDm,16-18,RSI14DIP,P3_26f-26a,0,0,0,0,0
BTCUSDm,16-18,VWAP,P3_26f-26a,80,1.0,33.8,1.02,-8.0
BTCUSDm,16-18,BBREV,P3_26f-26a,328,-12.0,31.1,0.94,-20.0
BTCUSDm,18-20,FVG,P3_26f-26a,157,-120.0,7.6,0.17,-119.0
BTCUSDm,18-20,BREAK24,P3_26f-26a,174,-5.0,32.2,0.96,-19.0
BTCUSDm,18-20,BREAK48,P3_26f-26a,92,-10.0,29.3,0.84,-18.0
BTCUSDm,18-20,RETEST24,P3_26f-26a,232,-17.0,30.6,0.89,-22.0
BTCUSDm,18-20,RETEST48,P3_26f-26a,129,5.0,34.1,1.06,-12.0
BTCUSDm,18-20,MOMEMA,P3_26f-26a,505,-40.0,30.3,0.88,-70.0
BTCUSDm,18-20,EMACROSS,P3_26f-26a,59,3.0,33.9,1.08,-9.0
BTCUSDm,18-20,RSI2,P3_26f-26a,181,14.0,35.9,1.12,-15.0
BTCUSDm,18-20,RSI14DIP,P3_26f-26a,0,0,0,0,0
BTCUSDm,18-20,VWAP,P3_26f-26a,58,12.0,39.7,1.35,-5.0
BTCUSDm,18-20,BBREV,P3_26f-26a,296,-3.0,32.8,0.98,-23.0
BTCUSDm,20-22,FVG,P3_26f-26a,151,-97.0,11.9,0.27,-100.0
BTCUSDm,20-22,BREAK24,P3_26f-26a,202,14.0,35.6,1.11,-17.0
BTCUSDm,20-22,BREAK48,P3_26f-26a,110,-2.0,32.7,0.97,-12.0
BTCUSDm,20-22,RETEST24,P3_26f-26a,249,60.0,41.0,1.42,-15.0
BTCUSDm,20-22,RETEST48,P3_26f-26a,130,44.0,44.6,1.61,-10.0
BTCUSDm,20-22,MOMEMA,P3_26f-26a,504,17.0,34.3,1.05,-24.0
BTCUSDm,20-22,EMACROSS,P3_26f-26a,73,2.0,34.2,1.04,-16.0
BTCUSDm,20-22,RSI2,P3_26f-26a,222,55.0,41.4,1.43,-12.0
BTCUSDm,20-22,RSI14DIP,P3_26f-26a,0,0,0,0,0
BTCUSDm,20-22,VWAP,P3_26f-26a,59,7.0,37.3,1.19,-9.0
BTCUSDm,20-22,BBREV,P3_26f-26a,329,26.0,35.6,1.12,-27.0
BTCUSDm,22-24,FVG,P3_26f-26a,182,-103.0,14.3,0.34,-102.0
BTCUSDm,22-24,BREAK24,P3_26f-26a,214,20.0,36.4,1.15,-12.0
BTCUSDm,22-24,BREAK48,P3_26f-26a,153,-3.0,32.7,0.97,-19.0
BTCUSDm,22-24,RETEST24,P3_26f-26a,260,18.0,35.4,1.11,-18.0
BTCUSDm,22-24,RETEST48,P3_26f-26a,180,-1.0,32.8,0.99,-20.0
BTCUSDm,22-24,MOMEMA,P3_26f-26a,554,50.0,36.1,1.14,-23.0
BTCUSDm,22-24,EMACROSS,P3_26f-26a,85,11.0,37.6,1.21,-7.0
BTCUSDm,22-24,RSI2,P3_26f-26a,221,10.0,34.8,1.07,-10.0
BTCUSDm,22-24,RSI14DIP,P3_26f-26a,0,0,0,0,0
BTCUSDm,22-24,VWAP,P3_26f-26a,62,11.0,38.7,1.3,-8.0
BTCUSDm,22-24,BBREV,P3_26f-26a,366,46.0,37.4,1.2,-25.0
